rank,fitness,size,depth,expression,latex
1,0.8705005383195021,14,7,"min((area error - -0.949517), (-min(0.982213, ((0.982213 * (area error * 0.982213)) + worst concave points))))","min((area error - -0.949517), (-min(0.982213, ((0.982213 * (area error * 0.982213)) + worst concave points))))"
2,0.862728411819004,12,6,"min(0.982213, (((0.982213 - (-worst concave points)) * min(area error, 0.430177)) + worst concave points))","min(0.982213, (((0.982213 - (-worst concave points)) * min(area error, 0.430177)) + worst concave points))"
3,0.860728411819004,14,7,"min(0.982213, min(0.982213, (((0.982213 - (-worst concave points)) * min(area error, 0.430177)) + worst concave points)))","min(0.982213, min(0.982213, (((0.982213 - (-worst concave points)) * min(area error, 0.430177)) + worst concave points)))"
4,0.860728411819004,14,7,"min(0.982213, min(0.982213, (((0.982213 - (-worst concave points)) * min(area error, 0.430177)) + worst concave points)))","min(0.982213, min(0.982213, (((0.982213 - (-worst concave points)) * min(area error, 0.430177)) + worst concave points)))"
5,0.8591896552482678,7,4,"min(0.982213, ((area error - 0.430177) + worst concave points))","min(0.982213, ((area error - 0.430177) + worst concave points))"
6,0.8568626713363182,9,5,"min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))","min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))"
7,0.8568626713363182,9,5,"min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))","min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))"
8,0.8568626713363182,9,5,"min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))","min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))"
9,0.8568626713363182,9,5,"min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))","min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))"
10,0.8568626713363182,9,5,"min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))","min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))"
11,0.8568626713363182,9,5,"min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))","min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))"
12,0.8568626713363182,9,5,"min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))","min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))"
13,0.8568626713363182,9,5,"min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))","min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))"
14,0.8568626713363182,9,5,"min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))","min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))"
15,0.8568626713363182,9,5,"min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))","min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))"
16,0.8568626713363182,9,5,"min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))","min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))"
17,0.8568626713363182,9,5,"min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))","min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))"
18,0.8568626713363182,9,5,"min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))","min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))"
19,0.8568626713363182,9,5,"min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))","min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))"
20,0.8568626713363182,9,5,"min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))","min(0.982213, ((0.982213 * (area error - 0.430177)) + worst concave points))"
